id,agent_id,provider_id,pattern_type,anomaly_score,evidence,confidence,created_at
11,1,1,near_identical_amounts,0.6655,"{'amount': 4000.0, 'timestamp': '2026-07-11T03:46:49.716189', 'velocity_10m': 2, 'velocity_30m': 6, 'transaction_id': 474, 'historical_mean': 5204.99, 'amount_deviation': -1204.99, 'off_hours_activity': True, 'similar_amounts_30m': 6, 'counterparty_repetition_30m': 1}",0.63,2026-07-11 03:52:50.233868
12,2,2,off_hours_activity,0.5562,"{'amount': 8000.0, 'timestamp': '2026-07-11T03:02:49.716189', 'velocity_10m': 1, 'velocity_30m': 1, 'transaction_id': 475, 'historical_mean': 5269.87, 'amount_deviation': 2730.13, 'off_hours_activity': True, 'similar_amounts_30m': 1, 'counterparty_repetition_30m': 1}",0.53,2026-07-11 03:52:50.250939
13,2,2,off_hours_activity,0.6028,"{'amount': 8000.0, 'timestamp': '2026-07-11T03:10:49.716189', 'velocity_10m': 2, 'velocity_30m': 2, 'transaction_id': 476, 'historical_mean': 5269.87, 'amount_deviation': 2730.13, 'off_hours_activity': True, 'similar_amounts_30m': 2, 'counterparty_repetition_30m': 1}",0.57,2026-07-11 03:52:50.267866
14,2,2,off_hours_activity,0.6457,"{'amount': 8000.0, 'timestamp': '2026-07-11T03:18:49.716189', 'velocity_10m': 2, 'velocity_30m': 3, 'transaction_id': 477, 'historical_mean': 5269.87, 'amount_deviation': 2730.13, 'off_hours_activity': True, 'similar_amounts_30m': 3, 'counterparty_repetition_30m': 1}",0.61,2026-07-11 03:52:50.284076
15,2,2,near_identical_amounts,0.6616,"{'amount': 8000.0, 'timestamp': '2026-07-11T03:26:49.716189', 'velocity_10m': 2, 'velocity_30m': 4, 'transaction_id': 478, 'historical_mean': 5269.87, 'amount_deviation': 2730.13, 'off_hours_activity': True, 'similar_amounts_30m': 4, 'counterparty_repetition_30m': 1}",0.63,2026-07-11 03:52:50.299398
16,2,2,near_identical_amounts,0.6616,"{'amount': 8000.0, 'timestamp': '2026-07-11T03:34:49.716189', 'velocity_10m': 2, 'velocity_30m': 4, 'transaction_id': 479, 'historical_mean': 5269.87, 'amount_deviation': 2730.13, 'off_hours_activity': True, 'similar_amounts_30m': 4, 'counterparty_repetition_30m': 1}",0.63,2026-07-11 03:52:50.314936
17,2,1,off_hours_activity,0.6585,"{'amount': 9999.0, 'timestamp': '2026-07-11T03:37:49.716189', 'velocity_10m': 2, 'velocity_30m': 5, 'transaction_id': 480, 'historical_mean': 5269.87, 'amount_deviation': 4729.13, 'off_hours_activity': True, 'similar_amounts_30m': 1, 'counterparty_repetition_30m': 1}",0.63,2026-07-11 03:52:50.330869
18,2,1,off_hours_activity,0.7089,"{'amount': 9999.0, 'timestamp': '2026-07-11T03:39:49.716189', 'velocity_10m': 3, 'velocity_30m': 6, 'transaction_id': 481, 'historical_mean': 5269.87, 'amount_deviation': 4729.13, 'off_hours_activity': True, 'similar_amounts_30m': 2, 'counterparty_repetition_30m': 2}",0.67,2026-07-11 03:52:50.347856
19,2,1,off_hours_activity,0.7388,"{'amount': 9999.0, 'timestamp': '2026-07-11T03:41:49.716189', 'velocity_10m': 4, 'velocity_30m': 6, 'transaction_id': 482, 'historical_mean': 5269.87, 'amount_deviation': 4729.13, 'off_hours_activity': True, 'similar_amounts_30m': 3, 'counterparty_repetition_30m': 3}",0.7,2026-07-11 03:52:50.364929
20,2,1,velocity_spike,0.7388,"{'amount': 9999.0, 'timestamp': '2026-07-11T03:43:49.716189', 'velocity_10m': 5, 'velocity_30m': 7, 'transaction_id': 483, 'historical_mean': 5269.87, 'amount_deviation': 4729.13, 'off_hours_activity': True, 'similar_amounts_30m': 4, 'counterparty_repetition_30m': 4}",0.7,2026-07-11 03:52:50.383517
21,2,1,velocity_spike,0.7388,"{'amount': 9999.0, 'timestamp': '2026-07-11T03:45:49.716189', 'velocity_10m': 5, 'velocity_30m': 8, 'transaction_id': 484, 'historical_mean': 5269.87, 'amount_deviation': 4729.13, 'off_hours_activity': True, 'similar_amounts_30m': 5, 'counterparty_repetition_30m': 5}",0.7,2026-07-11 03:52:50.422504
